"coursera_id","rin_community","zip_code","age_group","what_is_your_gender","what_is_your_ethnicity_and_or_race_please_select_all_that_apply","what_pronouns_do_you_use","employment_status","what_is_you_approximate_monthly_income","which_certificate_s_are_you_most_interested_in","after_completion_of_the_course_which_wrap_around_supports_will_you_need","are_you_able_to_commit_10_15_hours_per_week_for_this_training","your_google_scholarship_gives_you_6_months_to_complete_your_certification_s_are_you_willing_to_commit_to_the_successful_completion_of_your_certification_s_within_this_time_constraint","this_training_is_online_please_rate_your_personal_computer_skills","are_you_a_veteran_of_the_united_states_armed_forces","geometry"
"46a975cfeb2361716781308118e2d2e8","Traverse City","48045","35-44","""Male""","""Black or African American""","""He/his""",NA,"0","""Cybersecurity, IT Support""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs""","Yes","Yes",NA,NA,c(-82.860619684327, 42.5535940544456)
"525b16d3f0fd529d077a8afb7b710923","Portsmouth","45694","25-34","""Male""","""White / Caucasian""","""He/his""",NA,"500.00","""Cybersecurity, IT Support, UX (User Experience) Design""","""No, I don't need additional services""","Yes","Yes",NA,NA,c(-82.8476264883576, 38.7074641181654)
"46a04eabd9d70aa53206b3bad77c14e7","Traverse City","49682","18-24","""Male""","""White / Caucasian""","""He/his""",NA,"0","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs""","Yes","Yes","All",NA,c(-85.6412142414462, 44.8959974185013)
"0230ddaa66ce61cb610bc75fb470fdba","Traverse City","49684","35-44","""Female""","""White / Caucasian""","""She/her""",NA,"1200.00","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""Referrals to job opportunities""","Yes","Yes",NA,NA,c(-85.8108297886248, 44.7668332224413)
"3661eea8522ccc6c7eaf4afb9eb5c3c5","Traverse City","49619","18-24","""Female""","""White / Caucasian""","""She/her""",NA,"1600","""Data Analytics""","""Referrals to job opportunities, Information about other training programs, No, I don't need additional services""","Yes","Yes",NA,NA,c(-86.0208350724335, 44.3140543768422)
"d4434256b60b8684563a2d51f7231fc2","Traverse City","49686","25-34","""Female""","""Asian or Pacific Islander, White / Caucasian""","""She/her""","Full-time","75000","""Data Analytics""","""No, I don't need additional services""","Yes","Yes",NA,NA,c(-85.5826951173876, 44.7709891592763)
"a4e219028a5dcdc9fb6dc567b33da291","Traverse City","49684","55+","""Male""","""White / Caucasian""","""He/his""",NA,"$1500","""Data Analytics, Cybersecurity""","""Referrals to job opportunities""","Yes","Yes",NA,NA,c(-85.7159162389136, 44.8443384210936)
"570288041aff61f0ba2ba88cb2916795","Traverse City","49685","35-44","""Female""","""White / Caucasian""","""She/her""",NA,NA,NA,NA,NA,NA,NA,NA,c(-85.786209747872, 44.7124400975642)
"d0dc8c7db6e4931f184ba6f8882707ac","Eastern Kentucky","40503","18-24","""Female""","""Black or African American""","""She/her""",NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5156113852475, 38.0001393680228)
"ba45e01c71ad1cad2602527bda2a248a","Traverse City","49659","45-54","""Female""","""White / Caucasian""","""She/her""",NA,"$1500","""Cybersecurity, IT Support""","""Referrals to job opportunities""","Yes","Yes",NA,NA,c(-85.145378693333, 44.9024965999514)
